case,Dice,IoU,TP,FP,FN
case_000,0.9069253680778081,0.8297012313632812,128495,11223,15151
case_001,0.8597668509938724,0.7540272370990786,57527,17143,1623
case_002,0.9096546392163427,0.8342812029415635,114128,7061,15609
case_003,0.8802702241114295,0.7861452317036796,115969,342,31205
case_004,0.8147086199702576,0.6873488103404701,38075,6383,10936
case_005,0.9189276232754494,0.8500148954500438,105571,8450,10178
case_006,0.9271771032363543,0.8642405992949471,94140,6547,8241
case_007,0.8743607008294773,0.7767681010016163,61033,12824,4716
case_008,0.9266979910681815,0.8634084193976851,95556,7513,7604
case_009,0.9275198975900262,0.8648364622390596,133318,10531,10305
case_010,0.9315534442352982,0.8718765007095489,161584,10471,13274
case_011,0.90205752584065,0.8215890605118624,51010,5519,5558
case_012,0.8456277596467652,0.73254339465752,70478,23819,1913
case_013,0.9369167085208565,0.8813201336437689,142706,15926,3291
case_014,0.9066652241238242,0.8292658791514627,67042,5827,7976
case_015,0.903677505503627,0.8242807294752782,37560,7482,525
case_016,0.9280254903517827,0.865716005370619,93493,9011,5491
case_017,0.9093313589353151,0.8337375117410981,97639,8437,11034
case_018,0.8183334036894762,0.6925247834241315,77542,34125,303
case_019,0.9324727882713124,0.8734885425181093,61981,4663,4314
case_020,0.9115453951073134,0.8374675351731226,120597,9170,14235
case_021,0.8242498086445788,0.7010416113089227,52766,14548,7954
case_022,0.832705276567692,0.7133633519041441,93472,4362,33196
case_023,0.8855766545657637,0.7946501284219758,101480,20884,5340
case_024,0.9189532068290646,0.8500586770472565,59397,7100,3377
case_025,0.9306401774882199,0.8702778596097555,138845,4342,16354
case_026,0.9218903598629269,0.8550988930455309,100345,10821,6183
case_027,0.937073023082908,0.8815968015044549,230646,17604,13373
case_028,0.8309182052265381,0.710744285764495,60667,23389,1301
case_029,0.9468057286500826,0.8989848828521705,200942,3376,19203
case_030,0.8868377777061233,0.7966833224708524,55007,13115,923
case_031,0.9242316236199065,0.8591362638209347,111503,11249,7033
case_032,0.8898431407389858,0.8015472167881914,90142,5552,16766
case_033,0.8749152647781336,0.7776438852897606,70341,8486,11627
case_034,0.8681933164691785,0.7670862251499824,91294,20863,6857
case_035,0.9301066469390561,0.8693451962086121,142071,13043,8309
case_036,0.949274259201652,0.9034462775037637,143423,11517,3811
case_037,0.8908375648865877,0.803162401362339,133945,32012,815
case_038,0.8615769155046523,0.7568160969667804,100652,10161,22181
case_039,0.9077069928236883,0.831010531844567,91766,10757,7904
case_040,0.9053066713600404,0.8269956961232129,100303,19427,1556
case_041,0.9124873905625366,0.8390591360908799,109905,16565,4516
case_042,0.8343233067377092,0.7157416044776119,92073,33637,2930
case_043,0.9005786517329899,0.8191387707293015,53149,8856,2879
